Image,kmeans PSNR,kmeans elapsed time,kmeans++ PSNR,kmeans++ elapsed time
2_baboon.bmp,15.901,0.2199,15.902,0.2099
2_img_001.bmp,15.401,0.2198,15.401,0.2399
2_img_002.bmp,17.058,0.2699,17.058,0.3198
2_img_003.bmp,16.824,0.2199,16.824,0.2699
2_img_004.bmp,17.298,0.1299,17.298,0.1899
2_img_013.bmp,17.693,0.2498,17.693,0.2899
2_img_014.bmp,16.28,0.1899,16.279,0.2399
2_img_015.bmp,16.531,0.2998,16.531,0.3498
2_img_017.bmp,17.132,0.1799,17.132,0.2099
2_lena.bmp,19.251,0.1699,19.252,0.1899
2_baboon.bmp,15.901,0.1699,15.901,0.2099
2_img_001.bmp,15.401,0.2099,15.401,0.2699
2_img_002.bmp,17.058,0.2799,17.058,0.3398
2_img_003.bmp,16.824,0.2398,16.824,0.2599
2_img_004.bmp,17.298,0.1599,17.298,0.1699
2_img_013.bmp,17.693,0.2799,17.693,0.2898
2_img_014.bmp,16.28,0.2898,16.28,0.2299
2_img_015.bmp,16.531,0.2698,16.531,0.3098
2_img_017.bmp,17.132,0.1999,17.132,0.2399
2_lena.bmp,19.252,0.1399,19.252,0.1699
